Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Svizzera,Price / Svizzera,Compare At Price / Svizzera,Status
confezione-regalo-bottiglie,Confezione regalo per bottiglie 75 cl,"<meta charset=""utf-8"">
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><span data-sheets-userformat='{""2"":33590019,""3"":{""1"":0},""4"":[null,2,15724527],""11"":3,""12"":0,""14"":[null,2,0],""18"":1,""28"":1}' data-sheets-value='{""1"":2,""2"":""Confezione in cartone con decorazione\n\nFormato 0,75 L.\n\n1 bottiglia""}'>Confezione in cartone con decorazione.<br><br>Formato bottiglie 0,75 L</span><br></p>",Fondazione La Fonte,,Confezioni,"",true,Size,1 Bottiglia,,,,,"",0.0,,deny,manual,3.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/confezione-regalo-1-bottiglia_8b559382-881e-4ce2-9404-6b9a550fe62b.jpg?v=1664799371,1,,false,,Valorizza i tuoi regali con una confezione in cartone con decorazione.,,,,,,,,,,,,,kg,,,true,,,active
confezione-regalo-bottiglie,,,,,,,,,2 Bottiglie,,,,,"",0.0,,deny,manual,4.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/confezione-regalo-2-bottiglie_e19ada6d-746e-4bc0-a5f6-02daad444c3d.jpg?v=1664799371,2,,,,,,,,,,,,,,,,,kg,,,,,,
confezione-regalo-bottiglie,,,,,,,,,3 Bottiglie,,,,,"",0.0,,deny,manual,5.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/confezione-regalo-3-bottiglie_533b1eef-8028-467d-8f33-27b1ed0fc31c.jpg?v=1664799371,3,,,,,,,,,,,,,,,,,kg,,,,,,
coniglietti,Coniglietti spensierati,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Prodotto artigianale con diversi tipo di legno (mogano, frassino, acero), lasciati al naturale senza vernici.</span></p>
<p data-mce-fragment=""1"">Realizzato presso l'atelier di falegnameria di Vaglio.<br></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensioni: 11, 15 e 18 cm </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Produttore: Fondazione La Fonte, La Fattoria</span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""><meta charset=""UTF-8"">Si può acquistare questo prodotto direttamente presso La Fattoria della Fondazione La Fonte a Vaglio, tel. 091 943 42 47.</strong></p>",Fondazione La Fonte,,Prodotto in legno,"",true,Size,11 cm,,,,,"",0.0,shopify,deny,manual,4.00,,true,true,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/coniglietti-legno_ed0552fa-d75f-44c9-be64-2fd55c30e491.jpg?v=1664799463,1,,false,,"Prodotto artigianale con diversi tipo di legno quali mogano, frassino, acero. Lasciati al naturale senza vernici. Un oggetto esclusivo o l’idea di un regalo speciale. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità.",,,,,,,,,,,,,kg,,,true,,,active
coniglietti,,,,,,,,,15 cm,,,,,"",0.0,shopify,deny,manual,6.00,,true,true,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/coniglietti-legno-piccoli_6072684d-5e72-4c9f-a1c0-cecfa2bb95d0.jpg?v=1664799463,2,,,,,,,,,,,,,,,,,kg,,,,,,
coniglietti,,,,,,,,,18 cm,,,,,"",0.0,shopify,deny,manual,8.00,,true,true,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/coniglietti-legno-medi_cac8319c-9d9c-4bd7-8868-f4fc60858459.jpg?v=1664799463,3,,,,,,,,,,,,,,,,,kg,,,,,,
coniglietti,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/products/coniglietti-legno-grandi_605ed751-6318-4804-a9be-23cedb67814e.jpg?v=1664799463,4,,,,,,,,,,,,,,,,,,,,,,,
supporto-e-amplificatorre-per-handy,Supporto e amplificatore per smartphone,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Prodotto artigianale eseguito con due-tre tipi di legno di essenze chiare e scure, finiti con uno strato di cera d'api. </span></p>
<p data-mce-fragment=""1"">Realizzato presso l'atelier di falegnameria di Vaglio.<br></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensioni: 9 x 6.5 cm </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Produttore: Fondazione La Fonte, La Fattoria</span></p>
<p data-mce-fragment=""1""><meta charset=""UTF-8""><strong>Si può acquistare questo prodotto direttamente presso La Fattoria della Fondazione La Fonte a Vaglio o presso il nostro punto vendita in via Buffi a Lugano.</strong></p>",Fondazione La Fonte,,Prodotto in legno,"",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,25.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/amplificatore-telefono_85d89e15-2f76-48ca-b9c3-6793bad15854.jpg?v=1664800060,1,,false,,"Prodotto artigianale eseguito con due-tre tipi di legno di essenze chiare e scure, finiti con una strato di cera d'api. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità. ",,,,,,,,,,,,,kg,,,true,,,active
dispenser-nastro-adesivo,Dispenser nastro adesivo,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Prodotto artigianale con due legni di mogano e frassino, laccato con una vernice all'acqua.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Realizzato presso l'atelier di falegnameria di Vaglio. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensioni: 16 x 7 cm </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Produttore: Fondazione La Fonte, La Fattoria</span></p>
<p data-mce-fragment=""1""><meta charset=""UTF-8""><strong>Si può acquistare questo prodotto direttamente presso La Fattoria della Fondazione La Fonte a Vaglio o presso il nostro punto vendita in via Buffi a Lugano.</strong></p>",Fondazione La Fonte,,Prodotto in legno,"",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,25.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/dispenser-nastro-adesivo_d487f17e-5c0c-4158-accb-78d9ab7ca029.jpg?v=1664799754,1,,false,,"Prodotto artigianale con due legni di mogano e frassino, laccato con una vernice all'acqua. Un oggetto esclusivo o l’idea di un regalo speciale. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità.",,,,,,,,,,,,,kg,,,true,,,active
taglia-salamino,Taglia salamino,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Prodotto artigianale in legno di faggio protetto da una mano di olio d'oliva.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Realizzato presso l'atelier di falegnameria di Vaglio. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensioni: 31.5 x 5 cm </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Produttore: Fondazione La Fonte, La Fattoria</span></p>
<p style=""font-weight: 400;""><strong>Si può acquistare questo prodotto direttamente presso La Fattoria della Fondazione La Fonte a Vaglio o presso il nostro punto vendita in via Buffi a Lugano.</strong></p>",Fondazione La Fonte,,Prodotto in legno,"",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,12.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/taglia-salamino_64ac6960-b801-415b-9a92-ebf65a90a40b.jpg?v=1664800079,1,,false,,"Prodotto artigianale in legno di faggio protetto da una mano di olio d'oliva. Realizzato presso l'atelier di falegnameria di Vaglio. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità. ",,,,,,,,,,,,,kg,,,true,,,active
albero-di-natale,Albero di Natale,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Prodotto artigianale in legno Toulipier lasciato al naturale. L'albero è impreziosito da una serie di luci LED a batteria (non fornita).</span></p>
<p data-mce-fragment=""1"">Realizzato presso l'atelier di falegnameria di Vaglio.<br></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Dimensioni: 50x20 cm </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Produttore: Fondazione La Fonte, La Fattoria</span></p>
<p data-mce-fragment=""1""><meta charset=""UTF-8""><strong>Si può acquistare questo prodotto direttamente presso La Fattoria della Fondazione La Fonte a Vaglio o presso il nostro punto vendita in via Buffi a Lugano.</strong></p>",Fondazione La Fonte,,Prodotto in legno,"",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,40.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/albero-natale-1_66bd0a87-f6bc-4ba6-ad3b-368a9c8d9585.jpg?v=1664799032,1,,false,,"Prodotto artigianale in legno Toulipier lasciato al naturale. L'albero è impreziosito da una serie di luci LED. Un albero di Natale semplice, ma unico e ideale per un regalo speciale. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità.",,,,,,,,,,,,,kg,,,true,,,active
albero-di-natale,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/products/albero-natale-2.jpg?v=1664799038,2,,,,,,,,,,,,,,,,,,,,,,,
albero-di-natale,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0448/2790/2104/products/albero-natale-3.jpg?v=1664799038,3,,,,,,,,,,,,,,,,,,,,,,,
biglietto-di-natale-2022-alberi-bianchi,Biglietto di Natale 2022: Variazioni su Albero,"<p><meta charset=""utf-8""><span data-mce-fragment=""1"">160x160 mm (chiuso)</span><span data-mce-fragment=""1""><br></span></p>
<p><span data-mce-fragment=""1"">Formato pieghevole, con busta. </span></p>
<p><span data-mce-fragment=""1"">Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. </span></p>
<p><span>È possibile stampare un testo all’interno dei biglietti. </span><br><span>Se si desidera la personalizzazione, </span><a href=""https://fondazionelafonte.myshopify.com/collections/biglietti/products/sovrastampa-interna-biglietti"">acquistare anche la personalizzazione</a><span> e aggiungere nelle “note” nel carrello il testo desiderato. La personalizzazione è possibile solamente per acquisti fatti entro il 01.12. Prima della stampa ti contatteremo per una conferma.</span></p>
<p><span data-sheets-value='{""1"":2,""2"":""148x210 mm (chiuso)\nFormato pieghevole""}' data-sheets-userformat='{""2"":33555329,""3"":{""1"":0},""10"":1,""11"":3,""12"":0,""28"":1}'>Desideri che ci occupiamo di spedire le cartoline a tutti i tuoi destinatari? Contattaci allo 091 606 56 56 o invia una mail a <a class=""c-link"" data-stringify-link=""mailto:info@lafonte.ch"" data-sk=""tooltip_parent"" href=""mailto:info@lafonte.ch"" data-mce-href=""mailto:info@lafonte.ch"" target=""_blank"" delay=""150"">info@lafonte.ch</a></span></p>",Fondazione La Fonte,,Biglietti,Natale,false,Title,Default Title,,,,,"",0.0,,deny,manual,4.00,,true,false,"",https://cdn.shopify.com/s/files/1/0448/2790/2104/products/biglietto-natale-3.jpg?v=1663934649,1,,false,,"Albero di Natale pop. Il soggetto è una composizione di elementi grafici opera degli utenti del nostro Centro diurno ad Agno. Prodotto artigianalmente in Ticino dalla Fondazione La Fonte, organizzazione sociale attiva nel settore della disabilità. ",,,,,,,,,,,,,kg,,,true,,,archived
